"ул. Авачинская, д. 01","ул. Авачинская, д. 02","ул. Авачинская, д. 03","ул. Авачинская, д. 04","ул. Авачинская, д. 05","ул. Авачинская, д. 06","ул. Авачинская, д. 07","ул. Авачинская, д. 08","ул. Авачинская, д. 09","ул. Авачинская, д. 10","ул. Авачинская, д. 11","ул. Авачинская, д. 12","ул. Авачинская, д. 13","ул. Авачинская, д. 14","ул. Авачинская, д. 15","ул. Авачинская, д. 16","ул. Авачинская, д. 17","ул. Авачинская, д. 18","ул. Авачинская, д. 19","ул. Авачинская, д. 20","ул. Авачинская, д. 21","ул. Авачинская, д. 22","ул. Авачинская, д. 23","ул. Авачинская, д. 24","ул. Авачинская, д. 25","ул. Авачинская, д. 26","ул. Авачинская, д. 27","ул. Авачинская, д. 28","ул. Авачинская, д. 29","ул. Авачинская, д. 30","ул. Авачинская, д. 31","ул. Авачинская, д. 32","ул. Авачинская, д. 33","ул. Авачинская, д. 34","ул. Авачинская, д. 35","ул. Авачинская, д. 36","ул. Авачинская, д. 37","ул. Авачинская, д. 38","ул. Авачинская, д. 39","ул. Авачинская, д. 40","ул. Авачинская, д. 41","ул. Авачинская, д. 42","ул. Авачинская, д. 43","ул. Авачинская, д. 44","ул. Авачинская, д. 45","ул. Авачинская, д. 46","ул. Авачинская, д. 47","ул. Авачинская, д. 48","ул. Авачинская, д. 49","ул. Авачинская, д. 50","ул. Авачинская, д. 51","ул. Авачинская, д. 52","ул. Авачинская, д. 53","ул. Авачинская, д. 54","ул. Авачинская, д. 55","ул. Авачинская, д. 56","ул. Авачинская, д. 57","ул. Авачинская, д. 58","ул. Авачинская, д. 59","ул. Авачинская, д. 60","ул. Авачинская, д. 61","ул. Авачинская, д. 62","ул. Авачинская, д. 63","ул. Авачинская, д. 64","ул. Авачинская, д. 65","ул. Авачинская, д. 66","ул. Авачинская, д. 67","ул. Авачинская, д. 68","ул. Авачинская, д. 69","ул. Авачинская, д. 70","ул. Авачинская, д. 71","ул. Авачинская, д. 72","ул. Авачинская, д. 73","ул. Авачинская, д. 74","ул. Авачинская, д. 75","ул. Авачинская, д. 76","ул. Авачинская, д. 77","ул. Авачинская, д. 78","ул. Авачинская, д. 79","ул. Авачинская, д. 80","ул. Авачинская, д. 81","ул. Авачинская, д. 82","ул. Авачинская, д. 83","ул. Авачинская, д. 84","ул. Авачинская, д. 85","ул. Авачинская, д. 86","ул. Авачинская, д. 87","ул. Авачинская, д. 88","ул. Авачинская, д. 89","ул. Авачинская, д. 90","ул. Авачинская, д. 91","ул. Авачинская, д. 92","ул. Авачинская, д. 93","ул. Авачинская, д. 94","ул. Авачинская, д. 95","ул. Авачинская, д. 96","ул. Авачинская, д. 97","ул. Авачинская, д. 98","ул. Авачинская, д. 99","ул. Авачинская, д. 100","ул. Кондратьева, д. 01","ул. Кондратьева, д. 02","ул. Кондратьева, д. 03","ул. Кондратьева, д. 04","ул. Кондратьева, д. 05","ул. Кондратьева, д. 06","ул. Кондратьева, д. 07","ул. Кондратьева, д. 08","ул. Кондратьева, д. 09","ул. Кондратьева, д. 10","ул. Кондратьева, д. 11","ул. Кондратьева, д. 12","ул. Кондратьева, д. 13","ул. Кондратьева, д. 14","ул. Кондратьева, д. 15","ул. Кондратьева, д. 16","ул. Кондратьева, д. 17","ул. Кондратьева, д. 18","ул. Кондратьева, д. 19","ул. Кондратьева, д. 20","ул. Кондратьева, д. 21","ул. Кондратьева, д. 22","ул. Кондратьева, д. 23","ул. Кондратьева, д. 24","ул. Кондратьева, д. 25","ул. Кондратьева, д. 26","ул. Кондратьева, д. 27","ул. Кондратьева, д. 28","ул. Кондратьева, д. 29","ул. Кондратьева, д. 30","ул. Кондратьева, д. 31","ул. Кондратьева, д. 32","ул. Кондратьева, д. 33","ул. Кондратьева, д. 34","ул. Кондратьева, д. 35","ул. Кондратьева, д. 36","ул. Кондратьева, д. 37","ул. Кондратьева, д. 38","ул. Кондратьева, д. 39","ул. Кондратьева, д. 40","ул. Кондратьева, д. 41","ул. Кондратьева, д. 42","ул. Кондратьева, д. 43","ул. Кондратьева, д. 44","ул. Кондратьева, д. 45","ул. Кондратьева, д. 46","ул. Кондратьева, д. 47","ул. Кондратьева, д. 48","ул. Кондратьева, д. 49","ул. Кондратьева, д. 50","ул. Кондратьева, д. 51","ул. Кондратьева, д. 52","ул. Кондратьева, д. 53","ул. Кондратьева, д. 54","ул. Кондратьева, д. 55","ул. Кондратьева, д. 56","ул. Кондратьева, д. 57","ул. Кондратьева, д. 58","ул. Кондратьева, д. 59","ул. Кондратьева, д. 60","ул. Кондратьева, д. 61","ул. Кондратьева, д. 62","ул. Кондратьева, д. 63","ул. Кондратьева, д. 64","ул. Кондратьева, д. 65","ул. Кондратьева, д. 66","ул. Кондратьева, д. 67","ул. Кондратьева, д. 68","ул. Кондратьева, д. 69","ул. Кондратьева, д. 70","ул. Кондратьева, д. 71","ул. Кондратьева, д. 72","ул. Кондратьева, д. 73","ул. Кондратьева, д. 74","ул. Кондратьева, д. 75","ул. Кондратьева, д. 76","ул. Кондратьева, д. 77","ул. Кондратьева, д. 78","ул. Кондратьева, д. 79","ул. Кондратьева, д. 80","ул. Кондратьева, д. 81","ул. Кондратьева, д. 82","ул. Кондратьева, д. 83","ул. Кондратьева, д. 84","ул. Кондратьева, д. 85","ул. Кондратьева, д. 86","ул. Кондратьева, д. 87","ул. Кондратьева, д. 88","ул. Кондратьева, д. 89","ул. Кондратьева, д. 90","ул. Кондратьева, д. 91","ул. Кондратьева, д. 92","ул. Кондратьева, д. 93","ул. Кондратьева, д. 94","ул. Кондратьева, д. 95","ул. Кондратьева, д. 96","ул. Кондратьева, д. 97","ул. Кондратьева, д. 98","ул. Кондратьева, д. 99","ул. Кондратьева, д. 100","ул. Причудная, д. 01","ул. Причудная, д. 02","ул. Причудная, д. 03","ул. Причудная, д. 04","ул. Причудная, д. 05","ул. Причудная, д. 06","ул. Причудная, д. 07","ул. Причудная, д. 08","ул. Причудная, д. 09","ул. Причудная, д. 10","ул. Причудная, д. 11","ул. Причудная, д. 12","ул. Причудная, д. 13","ул. Причудная, д. 14","ул. Причудная, д. 15","ул. Причудная, д. 16","ул. Причудная, д. 17","ул. Причудная, д. 18","ул. Причудная, д. 19","ул. Причудная, д. 20","ул. Причудная, д. 21","ул. Причудная, д. 22","ул. Причудная, д. 23","ул. Причудная, д. 24","ул. Причудная, д. 25","ул. Причудная, д. 26","ул. Причудная, д. 27","ул. Причудная, д. 28","ул. Причудная, д. 29","ул. Причудная, д. 30","ул. Причудная, д. 31","ул. Причудная, д. 32","ул. Причудная, д. 33","ул. Причудная, д. 34","ул. Причудная, д. 35","ул. Причудная, д. 36","ул. Причудная, д. 37","ул. Причудная, д. 38","ул. Причудная, д. 39","ул. Причудная, д. 40","ул. Причудная, д. 41","ул. Причудная, д. 42","ул. Причудная, д. 43","ул. Причудная, д. 44","ул. Причудная, д. 45","ул. Причудная, д. 46","ул. Причудная, д. 47","ул. Причудная, д. 48","ул. Причудная, д. 49","ул. Причудная, д. 50","ул. Причудная, д. 51","ул. Причудная, д. 52","ул. Причудная, д. 53","ул. Причудная, д. 54","ул. Причудная, д. 55","ул. Причудная, д. 56","ул. Причудная, д. 57","ул. Причудная, д. 58","ул. Причудная, д. 59","ул. Причудная, д. 60","ул. Причудная, д. 61","ул. Причудная, д. 62","ул. Причудная, д. 63","ул. Причудная, д. 64","ул. Причудная, д. 65","ул. Причудная, д. 66","ул. Причудная, д. 67","ул. Причудная, д. 68","ул. Причудная, д. 69","ул. Причудная, д. 70","ул. Причудная, д. 71","ул. Причудная, д. 72","ул. Причудная, д. 73","ул. Причудная, д. 74","ул. Причудная, д. 75","ул. Причудная, д. 76","ул. Причудная, д. 77","ул. Причудная, д. 78","ул. Причудная, д. 79","ул. Причудная, д. 80","ул. Причудная, д. 81","ул. Причудная, д. 82","ул. Причудная, д. 83","ул. Причудная, д. 84","ул. Причудная, д. 85","ул. Причудная, д. 86","ул. Причудная, д. 87","ул. Причудная, д. 88","ул. Причудная, д. 89","ул. Причудная, д. 90","ул. Причудная, д. 91","ул. Причудная, д. 92","ул. Причудная, д. 93","ул. Причудная, д. 94","ул. Причудная, д. 95","ул. Причудная, д. 96","ул. Причудная, д. 97","ул. Причудная, д. 98","ул. Причудная, д. 99","ул. Причудная, д. 100"
1174,1144,1116,1094,1057,1032,1005,956,918,912,882,825,814,779,753,717,700,670,619,610,565,535,522,477,435,423,379,372,338,304,255,255,208,193,135,125,96,60,43,0,19,54,105,115,161,167,212,243,256,308,315,358,385,410,439,493,522,553,561,612,627,656,704,713,742,787,822,835,875,885,917,956,978,1023,1062,1071,1111,1150,1165,1207,1231,1260,1299,1326,1360,1388,1410,1451,1456,1490,1516,1557,1591,1627,1649,1689,1710,1753,1766,1808,1820,1871,1893,1924,1950,1974,2004,2049,2075,2105,2133,2166,2184,2228,2250,2270,2316,2354,2381,2390,2431,2460,2491,2521,2552,2567,2624,2643,2678,2702,2728,2773,2805,2808,2863,2872,2910,2925,2959,2985,3030,3053,3078,3127,3162,3178,3215,3229,3272,3298,3332,3356,3393,3434,3457,3475,3517,3539,3584,3593,3627,3672,3697,3730,3761,3790,3821,3845,3873,3885,3915,3949,3978,4015,4055,4084,4114,4151,4174,4205,4239,4268,4303,4318,4340,4365,4406,4429,4477,4488,4536,4561,4594,4633,4661,4688,4696,4732,4760,4810,4838,4872,4880,4931,4956,4987,5019,5047,5072,5096,5117,5164,5178,5223,5244,5272,5298,5326,5375,5393,5426,5466,5492,5511,5559,5584,5621,5639,5684,5694,5736,5754,5799,5830,5845,5890,5906,5948,5984,5995,6031,6067,6097,6115,6149,6179,6199,6251,6271,6304,6345,6346,6383,6434,6446,6492,6523,6529,6558,6609,6621,6671,6688,6721,6756,6766,6819,6842,6856,6896,6924,6949,6985,7026,7036,7087,7100,7146,7162,7189,7218,7275,7279,7323,7365,7379,7417,7429,7478,7504,7526,7546,7590,7631,7643,7670,7715,7727,7762,7811
1201,1181,1130,1116,1075,1038,1015,977,971,919,905,867,851,821,766,759,720,699,659,642,593,571,541,511,474,461,405,405,360,331,312,285,247,195,165,147,106,102,48,19,0,31,51,75,115,156,180,215,244,277,313,330,359,387,409,448,477,515,525,582,596,642,659,685,713,759,786,806,855,882,910,937,951,980,1032,1053,1066,1121,1132,1165,1195,1245,1261,1276,1323,1355,1389,1406,1443,1459,1511,1519,1573,1598,1620,1641,1687,1713,1744,1777,1813,1822,1847,1876,1915,1946,1987,1995,2051,2078,2090,2139,2163,2190,2209,2260,2295,2322,2326,2385,2395,2426,2454,2477,2507,2552,2572,2595,2651,2666,2700,2732,2746,2777,2813,2853,2894,2915,2946,2961,2989,3028,3070,3087,3123,3139,3173,3214,3247,3282,3312,3317,3373,3380,3419,3443,3472,3525,3533,3573,3599,3630,3655,3678,3735,3757,3774,3809,3833,3868,3885,3939,3970,3983,4017,4035,4081,4098,4140,4171,4197,4240,4258,4283,4306,4335,4383,4403,4434,4458,4494,4538,4552,4602,4605,4638,4691,4700,4736,4769,4789,4820,4864,4878,4921,4944,4990,4995,5040,5079,5111,5131,5158,5188,5210,5259,5274,5307,5342,5382,5385,5428,5460,5505,5515,5558,5580,5597,5655,5658,5711,5740,5772,5788,5835,5836,5872,5902,5940,5972,5999,6021,6072,6100,6125,6155,6172,6203,6238,6262,6286,6336,6346,6397,6431,6455,6471,6511,6550,6566,6610,6620,6647,6691,6705,6759,6794,6797,6850,6855,6910,6930,6956,6990,7023,7042,7068,7115,7152,7167,7198,7233,7255,7295,7317,7361,7389,7425,7450,7465,7492,7544,7552,7579,7608,7659,7674,7700,7736,7783
1231,1213,1170,1144,1119,1067,1058,1015,985,952,939,887,862,838,804,775,753,731,686,645,631,596,563,549,508,468,454,419,383,347,337,286,262,235,221,192,150,119,96,54,31,0,43,54,86,113,158,184,223,245,278,292,327,356,390,432,455,480,513,539,569,602,638,657,692,721,755,780,802,832,855,895,927,964,980,1028,1053,1076,1095,1155,1169,1190,1227,1265,1303,1333,1364,1388,1421,1429,1476,1511,1540,1551,1602,1607,1636,1686,1718,1746,1783,1812,1819,1852,1887,1912,1951,1969,2009,2030,2079,2112,2133,2159,2178,2229,2257,2280,2318,2326,2379,2400,2419,2448,2491,2525,2563,2566,2621,2626,2675,2713,2736,2761,2801,2824,2850,2891,2921,2950,2985,2990,3024,3073,3081,3112,3158,3180,3225,3234,3263,3303,3317,3346,3379,3417,3450,3478,3525,3531,3584,3590,3622,3670,3676,3727,3756,3783,3810,3851,3877,3887,3917,3955,3997,4016,4051,4067,4115,4138,4170,4185,4240,4263,4283,4312,4356,4368,4403,4442,4470,4487,4544,4558,4595,4613,4654,4675,4723,4741,4776,4786,4831,4851,4885,4930,4940,4985,5006,5040,5068,5109,5130,5156,5205,5220,5243,5276,5311,5335,5371,5398,5432,5474,5490,5522,5547,5570,5598,5653,5657,5689,5734,5773,5791,5830,5853,5867,5898,5927,5961,5990,6026,6045,6086,6107,6139,6193,6210,6242,6281,6307,6333,6375,6388,6416,6452,6482,6498,6542,6560,6596,6637,6647,6690,6707,6752,6775,6795,6840,6858,6915,6930,6971,6999,7022,7038,7067,7115,7133,7158,7185,7228,7250,7280,7315,7338,7393,7399,7448,7461,7509,7532,7561,7594,7615,7663,7667,7706,7750
1255,1223,1214,1168,1144,1116,1086,1038,1008,995,957,928,914,872,854,795,774,747,707,688,673,616,611,577,528,509,489,439,421,391,368,315,306,275,237,213,186,148,119,105,51,43,0,16,48,78,105,154,165,216,252,266,300,319,363,388,409,445,488,516,550,577,585,615,647,689,719,759,789,815,855,880,886,934,949,997,1016,1049,1077,1106,1155,1172,1209,1245,1251,1292,1316,1363,1365,1407,1455,1474,1506,1528,1566,1589,1627,1651,1674,1725,1731,1766,1787,1818,1867,1884,1906,1953,1974,2012,2032,2071,2101,2128,2166,2185,2207,2239,2267,2318,2340,2363,2397,2415,2445,2493,2517,2563,2584,2621,2649,2685,2710,2731,2755,2789,2815,2857,2892,2906,2934,2959,2991,3034,3063,3088,3131,3137,3176,3214,3255,3279,3289,3320,3359,3380,3405,3460,3477,3504,3541,3569,3604,3617,3674,3690,3714,3750,3786,3820,3828,3857,3907,3923,3972,3986,4007,4056,4066,4096,4155,4182,4199,4245,4255,4303,4314,4336,4376,4423,4426,4478,4505,4518,4565,4586,4619,4660,4665,4706,4746,4768,4797,4829,4863,4876,4931,4939,4968,5005,5055,5072,5094,5132,5158,5203,5214,5252,5286,5295,5348,5385,5403,5445,5451,5497,5509,5540,5587,5618,5645,5669,5691,5738,5755,5790,5824,5841,5873,5907,5934,5974,5985,6029,6068,6095,6108,6149,6185,6220,6254,6276,6314,6317,6358,6385,6421,6443,6477,6501,6541,6565,6589,6626,6647,6678,6706,6740,6786,6818,6840,6871,6894,6925,6973,6994,7032,7043,7095,7096,7135,7185,7185,7227,7264,7290,7306,7354,7373,7416,7449,7466,7500,7536,7566,7586,7628,7640,7680,7721
1293,1274,1223,1210,1164,1133,1109,1090,1063,1018,980,954,917,894,881,836,821,767,738,728,682,649,638,599,577,527,499,481,447,414,392,365,335,293,259,228,210,185,165,115,75,54,16,0,35,60,88,131,142,181,219,248,265,308,323,373,379,407,445,490,514,547,555,585,627,654,675,707,747,785,821,849,873,895,923,965,986,1035,1058,1092,1106,1144,1169,1185,1245,1267,1288,1329,1346,1394,1424,1431,1470,1490,1517,1562,1600,1635,1642,1683,1697,1742,1779,1800,1829,1852,1876,1908,1937,1976,2005,2043,2063,2111,2131,2174,2197,2212,2262,2268,2319,2349,2360,2386,2441,2475,2493,2532,2544,2581,2625,2642,2673,2708,2735,2757,2787,2815,2850,2872,2895,2928,2969,3015,3044,3068,3099,3119,3156,3177,3212,3254,3283,3303,3344,3369,3396,3432,3449,3466,3502,3527,3556,3589,3622,3646,3701,3720,3758,3775,3823,3833,3855,3908,3919,3958,4002,4021,4040,4090,4097,4142,4157,4206,4221,4272,4280,4321,4349,4377,4414,4428,4460,4500,4520,4551,4592,4634,4659,4691,4725,4752,4773,4789,4817,4864,4895,4913,4949,4975,5010,5055,5056,5092,5138,5166,5194,5208,5238,5276,5322,5354,5364,5403,5437,5454,5497,5529,5540,5589,5608,5634,5662,5687,5743,5751,5776,5823,5848,5891,5909,5946,5960,5998,6027,6047,6093,6129,6156,6184,6210,6250,6258,6308,6332,6352,6403,6421,6442,6467,6520,6531,6571,6613,6619,6646,6687,6710,6750,6782,6799,6839,6877,6905,6917,6971,7005,7031,7055,7085,7123,7126,7164,7191,7238,7246,7280,7316,7344,7389,7422,7435,7462,7485,7529,7565,7583,7605,7646,7671
1312,1285,1259,1228,1185,1176,1139,1118,1077,1046,1011,1003,971,920,887,866,832,805,783,749,732,702,650,629,603,571,531,519,473,437,423,381,364,338,311,257,253,220,185,161,115,86,48,35,0,43,56,79,126,141,180,224,250,268,312,336,371,400,408,451,467,514,550,561,604,619,651,687,713,744,788,825,826,868,909,941,969,1005,1026,1038,1084,1118,1133,1157,1196,1237,1268,1295,1309,1359,1370,1412,1443,1467,1493,1537,1546,1595,1617,1637,1667,1723,1743,1785,1815,1818,1864,1879,1929,1962,1992,2002,2040,2076,2113,2118,2145,2192,2222,2265,2279,2311,2339,2378,2404,2419,2470,2497,2526,2540,2586,2612,2645,2683,2696,2729,2761,2780,2811,2835,2882,2908,2939,2957,3003,3031,3073,3092,3114,3153,3190,3200,3235,3257,3291,3345,3349,3385,3410,3440,3493,3514,3554,3558,3596,3639,3675,3700,3733,3746,3774,3825,3848,3875,3898,3933,3973,4005,4010,4052,4066,4099,4152,4177,4204,4235,4261,4282,4325,4365,4376,4404,4437,4485,4496,4527,4571,4603,4623,4639,4687,4710,4727,4778,4809,4815,4860,4876,4916,4955,4970,5002,5028,5077,5086,5131,5166,5179,5205,5255,5287,5300,5332,5355,5393,5420,5457,5478,5506,5542,5591,5620,5641,5677,5703,5742,5748,5782,5818,5848,5873,5906,5951,5959,6011,6024,6063,6097,6119,6151,6180,6222,6238,6270,6315,6315,6348,6404,6409,6464,6487,6522,6551,6570,6605,6636,6673,6688,6708,6760,6795,6805,6848,6855,6887,6940,6945,6976,7006,7042,7075,7106,7146,7159,7208,7228,7273,7295,7316,7351,7376,7404,7451,7479,7506,7534,7552,7578,7629,7663
1338,1335,1284,1260,1229,1209,1163,1155,1123,1077,1053,1032,998,958,944,911,872,852,810,766,739,725,675,656,635,608,574,536,500,481,449,418,382,373,316,302,257,252,205,167,156,113,78,60,43,0,35,60,91,118,148,185,220,252,266,295,343,357,376,423,444,489,521,543,570,591,641,670,694,710,759,766,804,852,882,888,938,947,995,1017,1053,1065,1097,1155,1169,1207,1235,1262,1279,1335,1355,1386,1402,1454,1469,1499,1530,1561,1601,1614,1655,1687,1698,1744,1758,1791,1829,1856,1888,1923,1960,1989,2024,2036,2083,2106,2122,2153,2205,2223,2263,2286,2310,2325,2380,2397,2422,2471,2494,2517,2554,2594,2606,2653,2661,2699,2730,2763,2786,2829,2851,2887,2907,2926,2962,2991,3021,3062,3100,3123,3157,3178,3211,3236,3272,3310,3329,3359,3399,3411,3464,3466,3519,3539,3585,3594,3642,3652,3691,3706,3740,3789,3817,3840,3885,3900,3917,3968,3975,4013,4050,4095,4107,4144,4181,4197,4238,4255,4288,4308,4351,4392,4396,4444,4485,4486,4517,4548,4603,4612,4638,4672,4712,4755,4768,4794,4835,4872,4880,4932,4952,4972,5013,5053,5084,5089,5142,5153,5205,5209,5255,5269,5306,5353,5376,5397,5431,5455,5504,5532,5553,5586,5605,5625,5660,5685,5723,5756,5791,5828,5835,5892,5924,5928,5965,6015,6022,6046,6081,6110,6159,6168,6199,6229,6259,6308,6316,6356,6396,6408,6449,6473,6496,6541,6584,6610,6628,6671,6690,6705,6757,6773,6824,6828,6882,6889,6933,6960,6978,7035,7040,7073,7099,7147,7171,7195,7223,7269,7295,7333,7362,7380,7401,7445,7485,7487,7542,7555,7577,7616
1378,1357,1319,1293,1253,1238,1198,1182,1127,1122,1087,1044,1019,1004,972,927,907,879,844,800,769,748,726,679,650,640,609,581,547,524,473,437,415,399,346,327,292,268,250,212,180,158,105,88,56,35,0,23,55,102,116,148,195,224,232,284,307,332,354,400,428,455,492,505,540,575,586,616,675,699,720,752,785,818,853,876,909,928,963,1001,1012,1049,1073,1119,1131,1181,1193,1245,1256,1280,1326,1355,1373,1410,1432,1469,1501,1516,1548,1579,1620,1659,1695,1704,1736,1781,1811,1830,1845,1887,1924,1943,1983,2007,2026,2082,2093,2126,2162,2184,2228,2237,2274,2296,2329,2357,2412,2442,2448,2503,2531,2557,2576,2608,2646,2660,2694,2737,2771,2795,2810,2858,2890,2899,2941,2981,3001,3035,3053,3084,3123,3148,3179,3218,3255,3264,3304,3345,3365,3394,3416,3445,3467,3515,3544,3578,3609,3615,3674,3696,3722,3738,3780,3819,3843,3884,3894,3935,3967,4002,4026,4051,4070,4106,4147,4179,4190,4218,4268,4286,4332,4349,4372,4407,4428,4482,4509,4539,4571,4576,4608,4652,4676,4696,4725,4776,4799,4816,4872,4893,4919,4948,4982,5013,5051,5067,5093,5128,5147,5205,5232,5264,5271,5322,5343,5378,5406,5438,5471,5501,5522,5548,5583,5602,5647,5668,5685,5737,5745,5794,5809,5853,5867,5920,5936,5979,5992,6033,6074,6102,6110,6149,6187,6208,6236,6259,6315,6337,6345,6386,6409,6448,6495,6515,6533,6564,6600,6644,6648,6698,6731,6755,6789,6818,6834,6862,6899,6917,6945,7005,7012,7064,7086,7115,7125,7184,7187,7219,7257,7289,7320,7335,7377,7397,7427,7468,7490,7532,7561,7588
1414,1376,1353,1321,1300,1248,1244,1205,1168,1128,1123,1087,1041,1009,982,964,919,901,871,830,818,776,747,721,693,652,638,611,563,529,497,470,451,409,389,362,339,285,259,243,215,184,154,131,79,60,23,0,31,74,86,116,150,178,204,251,256,286,342,355,394,420,444,468,507,554,561,599,623,660,677,727,746,768,800,831,864,905,945,953,977,1009,1045,1066,1120,1132,1171,1209,1219,1269,1304,1327,1361,1379,1398,1440,1483,1514,1530,1568,1604,1626,1642,1665,1708,1735,1764,1807,1822,1851,1898,1909,1963,1970,2021,2049,2077,2085,2125,2173,2205,2209,2253,2277,2323,2327,2361,2387,2439,2458,2500,2522,2557,2583,2615,2643,2682,2686,2717,2750,2780,2833,2852,2865,2902,2940,2973,2991,3042,3050,3076,3129,3142,3184,3223,3255,3276,3291,3345,3362,3381,3413,3438,3492,3519,3534,3579,3597,3637,3652,3676,3730,3754,3766,3796,3826,3881,3898,3941,3956,3983,4009,4062,4084,4123,4140,4180,4209,4237,4272,4289,4309,4362,4389,4412,4449,4456,4494,4518,4557,4597,4616,4663,4678,4720,4752,4761,4805,4827,4848,4876,4912,4942,4979,5012,5040,5074,5097,5121,5167,5201,5219,5243,5275,5316,5353,5358,5408,5426,5461,5499,5505,5550,5589,5620,5643,5667,5709,5724,5757,5775,5819,5855,5886,5900,5933,5978,5986,6015,6055,6103,6123,6140,6175,6208,6253,6260,6298,6317,6369,6382,6430,6440,6493,6506,6536,6558,6603,6640,6650,6705,6715,6761,6782,6824,6842,6876,6907,6915,6960,6996,7019,7063,7085,7124,7131,7159,7208,7236,7247,7289,7305,7359,7390,7417,7451,7478,7507,7532,7547
1453,1399,1366,1351,1330,1290,1275,1215,1211,1180,1155,1106,1070,1048,1017,977,975,916,906,875,846,815,790,748,708,678,669,640,603,574,544,505,488,441,411,404,365,325,293,256,244,223,165,142,126,91,55,31,0,22,72,79,135,152,167,202,251,262,294,330,374,389,428,463,490,497,530,560,594,642,674,697,709,760,780,819,825,882,893,927,959,985,1005,1036,1088,1125,1135,1173,1211,1220,1245,1286,1311,1342,1366,1403,1449,1469,1491,1517,1561,1603,1629,1640,1681,1697,1732,1781,1796,1838,1870,1881,1908,1958,1979,1996,2039,2071,2107,2131,2163,2194,2213,2256,2274,2312,2352,2376,2401,2431,2461,2496,2523,2560,2593,2608,2630,2656,2691,2718,2755,2799,2833,2858,2880,2901,2947,2956,3014,3019,3064,3077,3128,3165,3180,3217,3230,3275,3306,3327,3364,3397,3422,3446,3468,3499,3555,3585,3589,3634,3657,3693,3716,3754,3790,3824,3848,3874,3912,3935,3968,3981,4006,4057,4089,4104,4127,4155,4200,4243,4250,4285,4331,4365,4385,4421,4447,4484,4489,4532,4566,4593,4608,4665,4691,4695,4737,4764,4788,4826,4862,4887,4932,4950,4988,5020,5025,5062,5114,5116,5165,5204,5225,5264,5265,5311,5333,5357,5412,5435,5452,5496,5532,5549,5590,5604,5626,5661,5715,5726,5772,5791,5815,5863,5869,5913,5932,5976,6004,6042,6047,6090,6130,6142,6168,6218,6248,6273,6300,6323,6364,6401,6430,6450,6492,6505,6541,6558,6599,6645,6646,6689,6723,6738,6794,6823,6853,6857,6902,6944,6953,6984,7006,7063,7072,7123,7136,7158,7204,7238,7273,7278,7312,7337,7379,7401,7429,7463,7498,7527
1477,1448,1414,1366,1362,1319,1288,1265,1231,1208,1166,1132,1096,1068,1046,1014,995,963,928,886,871,830,799,777,752,720,696,675,644,597,585,541,524,491,453,429,377,353,334,308,277,245,216,181,141,118,102,74,22,0,32,48,99,134,161,177,208,237,267,313,323,370,395,420,456,490,506,545,575,614,639,648,689,731,761,767,802,845,878,905,930,969,991,1022,1041,1085,1120,1155,1157,1203,1238,1262,1296,1327,1355,1376,1407,1453,1456,1505,1523,1551,1596,1632,1636,1678,1713,1749,1764,1814,1835,1875,1891,1930,1938,1986,2019,2029,2075,2101,2133,2169,2201,2226,2244,2272,2303,2326,2355,2396,2426,2461,2495,2524,2539,2582,2615,2641,2660,2701,2738,2761,2802,2825,2842,2883,2920,2950,2977,2996,3029,3055,3098,3113,3147,3195,3221,3227,3267,3314,3336,3361,3376,3409,3455,3474,3525,3550,3582,3602,3619,3656,3696,3726,3740,3767,3804,3842,3884,3891,3941,3955,3991,4022,4060,4068,4111,4151,4169,4197,4236,4249,4278,4306,4350,4374,4414,4428,4461,4490,4526,4553,4595,4608,4647,4685,4714,4739,4759,4807,4825,4855,4884,4931,4963,4976,4997,5037,5081,5105,5134,5159,5193,5211,5242,5287,5302,5354,5369,5405,5441,5463,5495,5511,5543,5587,5618,5634,5660,5698,5731,5757,5799,5828,5848,5881,5922,5950,5978,6012,6029,6057,6092,6126,6160,6171,6208,6255,6281,6286,6337,6362,6396,6429,6436,6478,6501,6526,6576,6615,6620,6668,6702,6731,6749,6792,6824,6844,6882,6903,6937,6967,6992,7023,7058,7070,7100,7143,7166,7200,7218,7265,7276,7327,7336,7365,7398,7440,7481,7494
